Time,Temperature
2024-01,16.8
2024-02,18.5
2024-03,20.5
2024-04,25.6
2024-05,25.6
2024-06,28.9
2024-07,29.7
2024-08,29.4
2024-09,28.5
2024-10,25.9
2024-11,22.5
2024-12,17.7
