window_id,delay_days,mean_1m,start_theta
7,0.0,43.736,43.736
7,0.041666666666666664,43.272666666666666,43.736
7,0.08333333333333333,41.71300000000001,43.736
7,0.125,41.772000000000006,43.736
7,0.16666666666666666,41.787333333333336,43.736
7,0.20833333333333334,40.58,43.736
7,0.25,40.028000000000006,43.736
7,0.2916666666666667,39.809666666666665,43.736
7,0.3333333333333333,37.35433333333334,43.736
7,0.375,35.394333333333336,43.736
7,0.4166666666666667,35.18366666666667,43.736
7,0.4583333333333333,35.02066666666666,43.736
7,0.5,34.92366666666667,43.736
7,0.5416666666666666,34.880333333333326,43.736
7,0.5833333333333334,33.714,43.736
7,0.625,32.909,43.736
7,0.6666666666666666,32.226,43.736
7,0.7083333333333334,31.83,43.736
7,0.75,31.744000000000007,43.736
7,0.7916666666666666,31.725666666666665,43.736
7,0.875,31.202,43.736
7,0.9166666666666666,30.954666666666668,43.736
7,0.9583333333333334,30.770333333333337,43.736
7,1.0,30.57633333333333,43.736
7,1.0416666666666667,30.459000000000003,43.736
7,1.0833333333333333,30.394,43.736
7,1.125,30.319666666666667,43.736
7,1.1666666666666667,30.227000000000004,43.736
7,1.2083333333333333,30.127333333333333,43.736
7,1.25,30.047666666666665,43.736
7,1.2916666666666667,29.987666666666676,43.736
7,1.3333333333333333,29.898999999999997,43.736
7,1.375,29.80966666666667,43.736
7,1.4166666666666667,29.711333333333336,43.736
7,1.4583333333333333,29.63533333333333,43.736
7,1.5,29.557666666666663,43.736
7,1.5416666666666667,29.485,43.736
7,1.5833333333333333,29.409,43.736
7,1.625,29.32066666666666,43.736
7,1.6666666666666667,29.22166666666667,43.736
7,1.7083333333333333,29.129,43.736
7,1.75,29.031666666666663,43.736
7,1.7916666666666667,28.936333333333334,43.736
7,1.875,28.76933333333333,43.736
7,1.9166666666666667,28.694333333333333,43.736
7,1.9583333333333333,28.62366666666667,43.736
7,2.0,28.555,43.736
7,2.0416666666666665,28.486666666666668,43.736
7,2.0833333333333335,28.419666666666664,43.736
7,2.125,28.351333333333333,43.736
7,2.1666666666666665,28.27933333333333,43.736
7,2.2083333333333335,28.21,43.736
7,2.25,28.134333333333338,43.736
7,2.2916666666666665,28.04866666666667,43.736
7,2.3333333333333335,27.944,43.736
7,2.375,27.74,43.736
7,2.4166666666666665,27.453,43.736
7,2.4583333333333335,27.256333333333338,43.736
7,2.5,27.129,43.736
7,2.5416666666666665,27.009,43.736
7,2.5833333333333335,26.893666666666668,43.736
7,2.625,26.78833333333333,43.736
7,2.6666666666666665,26.693666666666665,43.736
7,2.7083333333333335,26.603,43.736
7,2.75,26.515666666666668,43.736
7,2.7916666666666665,26.44,43.736
7,2.875,26.30133333333333,43.736
7,2.9166666666666665,26.239666666666665,43.736
7,2.9583333333333335,26.19166666666667,43.736
7,3.0,26.142000000000003,43.736
7,3.0416666666666665,26.095,43.736
7,3.0833333333333335,26.049,43.736
7,3.125,25.999666666666663,43.736
7,3.1666666666666665,25.95,43.736
7,3.2083333333333335,25.888,43.736
7,3.25,25.796333333333337,43.736
7,3.2916666666666665,25.686,43.736
7,3.3333333333333335,25.54666666666667,43.736
7,3.375,25.384666666666668,43.736
7,3.4166666666666665,25.22133333333333,43.736
7,3.4583333333333335,25.075333333333333,43.736
7,3.5,25.000666666666667,43.736
7,3.5416666666666665,25.00733333333333,43.736
7,3.5833333333333335,24.946666666666665,43.736
7,3.625,24.937666666666665,43.736
7,3.6666666666666665,24.932,43.736
7,3.7083333333333335,24.919,43.736
7,3.75,24.902,43.736
