,a,b,m,n,sep
0,3,0,1,2,30001
1,6,3,4,5,30001
2,9,6,7,8,30001
3,12,9,10,11,30001
4,15,12,13,14,30001
5,18,15,16,17,30001
6,21,18,19,20,30001
7,24,21,22,23,30001
8,27,24,25,26,30001
9,30,27,28,29,30001
10,33,30,31,32,30001
11,36,33,34,35,30001
12,39,36,37,38,30001
13,42,39,40,41,30001
