datetime,alpha_one_RHOA_1,alpha_one_RHOA_2,alpha_one_RHOA_3,alpha_one_RHOA_4,alpha_one_RHOA_5,alpha_one_RHOA_6,alpha_one_RHOA_7,alpha_one_RHOA_8,alpha_one_RHOA_9,alpha_one_RHOA_10,alpha_one_RHOA_11,alpha_one_RHOA_12,alpha_one_RHOA_13,alpha_one_RHOA_14
2024-02-29 17:00:00,49.04222943398292,47.80269081539972,32.55225067346832,45.69913818488892,44.82754148695937,34.76029530771797,53.08564389815838,58.613599518674825,58.8243799073333,72.54532964321669,82.70203565407478,97.57128256008465,101.12753959340395,86.46687263698529
2024-02-29 21:00:00,50.52323713139368,48.38205052281036,57.50977477957325,57.507250976991614,52.48251422601693,52.35820818184996,53.62335670071826,59.60745026874376,59.820878832556936,74.01863655471722,84.93421841076109,100.59825957488106,104.71507755771738,88.98158208020138
2024-03-02 15:00:00,52.62848720827993,49.46503364571768,58.91743070578099,58.736830360917914,53.17993001110572,52.916140589093445,54.65463602393904,60.475027574074204,60.193055513707,73.57783157693078,83.28060073932772,97.85801075568592,99.66345808612063,86.36094642037081
2024-03-02 21:00:00,52.984405877166346,49.737293474683256,58.79249753999278,58.87828887214696,53.37795393539649,53.375572877149686,54.761058086400496,60.8786143588958,60.50605858851454,73.66282031554991,83.21159051077774,98.22440062694389,100.0957967544752,86.50162244908823
2024-03-03 03:00:00,53.93031712559376,50.615335574694065,60.10348086156073,59.60921253570849,54.11589211080648,54.04317765799083,55.75169823054687,61.62583439369381,61.56866641584759,74.64962643942405,84.77925117653369,99.98081002017253,101.47557714090229,87.56846005258988
2024-03-03 11:00:00,53.36834081336165,50.09063493519251,59.73329716278516,58.77858053333315,53.72567589455387,53.651298565967295,55.22494267917275,61.49606881536972,60.979638284432774,73.5820194563941,83.18161010465826,98.05649119922022,99.46357373902137,86.08687938378921
2024-03-03 13:00:00,53.03987633161604,49.93599611902647,59.22996931376127,58.95213239573471,53.87830513489044,53.41563997373356,54.751892553507744,60.78306579320256,60.414440158525935,72.83743480438984,82.45395744056908,97.00236452865062,98.1785801343292,85.41833978882731
2024-03-03 15:00:00,52.969980532183676,50.03725141679499,59.404785716695095,58.38353243751765,53.5639593982915,53.091702745824776,54.55932366281911,60.57461984306267,60.23610970039423,72.40985509682432,81.83548120099614,96.03347924377235,97.48924756437881,84.78601366564718
2024-03-03 17:00:00,52.86592206040406,49.77875649505892,59.27517000967737,58.584155122799885,53.60487672443069,53.33544110147372,54.72074988731414,60.84822671684523,60.55903375492724,73.17466211358825,82.69749672235235,97.34497190351202,98.50502448308573,85.2684817045487
2024-03-03 19:00:00,53.19642179515077,50.204259928602376,59.69454767245635,59.04067595871046,54.09194377226499,53.32111308160752,54.853569378623874,61.07292417030988,60.812919845543284,73.32389189172267,83.24922468922414,98.02757240556252,99.2540584731513,85.51913559652502
2024-03-03 21:00:00,53.32343848417467,49.89823859221693,59.506251348677495,58.843525155759195,53.69364842855624,53.20625646217872,54.87950633789211,61.06884017034093,60.93116796867601,73.48230981050052,83.66673066254675,98.73124895825391,99.95644346076824,85.92475749240661
2024-03-03 23:00:00,53.20487971506193,50.050318890139195,59.57932040759452,58.770629711524556,53.91179896957122,53.2970639863159,55.02797817126973,61.24659978967956,60.99580210247988,73.60774484097168,83.9970560808947,98.893705777888,100.2161809341393,86.22806117695002
2024-03-04 01:00:00,53.41190343268783,50.0013254598769,59.79736451383856,58.90456063949017,54.107872142154,53.35875879166103,54.93910889521426,60.91318139266106,61.11130742169848,73.78041892081268,83.88356368030045,99.34788075986982,100.51799648433379,86.17039726934365
2024-03-04 03:00:00,53.50313034034707,50.35309069501512,59.832724605047694,59.33078032148168,53.91323920491986,53.63154887890573,55.33574117274274,61.00832242984585,61.30258256308761,74.11559822081385,84.11996640276953,99.42074017054405,100.79960598558098,86.29300711618801
2024-03-04 10:00:00,52.49298715170142,49.32414573602316,58.66639673171291,58.07925801611595,53.139589106089595,52.561635681162095,54.19583102781291,60.02017505582402,59.83010775924133,71.80351768614892,81.46271968952281,95.85993069763917,96.49379410968096,83.53262943262675
2024-03-04 12:00:00,51.675423171113785,48.75371923626775,57.860626545170916,57.14136813360772,52.13446156965539,51.993262085747844,53.473350490104075,59.26986622351071,59.133250947037425,70.74787443185588,80.33154250090935,94.09587942921993,94.78035496288116,82.10402605166631
2024-03-04 14:00:00,50.81920562670931,48.067566052997044,57.029826023794456,56.02309130006112,51.728039579035546,51.149898483030455,52.64560411704393,58.53634863908335,58.33161357441659,69.55875985004958,78.93221969156899,91.97736709271695,92.78403352736633,80.62848141875943
2024-03-04 16:00:00,50.03279778172679,47.488201256283205,56.26717378631035,55.56442276562742,51.003677264491486,50.44681668365527,51.86936258750746,57.70021475062992,57.281178613725785,68.25698379742946,76.79115171704996,89.59672820905897,90.36779770707923,78.71134443008857
2024-03-04 18:00:00,50.41950205932975,47.67654544915549,56.833040651334,55.82004355449567,51.2134545715798,50.61115703766835,52.12919215292554,57.98518822207353,57.82246047816624,68.72685067670369,77.67454174768899,90.46107156807358,91.2676443829125,79.19136883707162
2024-03-04 20:00:00,50.55723129117363,47.610925269046035,56.65016180123106,55.50409235266328,51.45183243966536,50.62799029178952,52.227548973377296,57.939163341361855,57.74111915476152,68.90412112828372,78.16031982715978,90.72077251485392,91.45179774318069,79.1329155507527
