period,start_time,end_time,duration_days,data_points,alpha_one_RHOA_1_change_percent,alpha_one_RHOA_2_change_percent,alpha_one_RHOA_3_change_percent,alpha_one_RHOA_4_change_percent,alpha_one_RHOA_7_change_percent,alpha_one_RHOA_10_change_percent,alpha_one_RHOA_11_change_percent,alpha_one_RHOA_12_change_percent,alpha_one_RHOA_13_change_percent,alpha_one_RHOA_14_change_percent
1,2024-03-05 14:00:00,2024-03-10 08:00:00,4,58,7.196355462847456,10.07586650006201,6.066431401531275,9.528109074536216,8.132071181119567,11.234286415021161,17.72523221201878,23.67229570310472,20.275803392729586,11.9483974440366
2,2024-04-11 16:00:00,2024-04-22 20:00:00,11,124,20.18733091326631,17.803424125747238,17.812353361744464,27.782108185563875,25.877342320670692,44.495113176257135,59.05410703141191,81.10291683559416,55.84427189559036,33.848067447945034
3,2024-05-22 18:00:00,2024-05-28 06:00:00,5,62,-1.2466087417819505,-2.4878956132313452,-0.8023875425632889,0.4714399972485861,0.37797206952308393,0.14445805930894381,2.3662692628891033,3.7141764156398653,4.758879130199918,1.7276928862971153
4,2024-06-09 20:00:00,2024-06-15 10:00:00,5,65,4.458783503158551,4.739417035923892,4.923538864598846,5.546840943494173,3.79021242465697,10.03031535303184,14.830271060133724,19.366842597591546,14.924041977050283,9.835763445238067
5,2024-06-14 02:00:00,2024-06-18 14:00:00,4,54,1.36953600254463,4.903561432946699,3.440680438115625,5.5446367621763155,4.83824251139251,5.774062204091951,7.88514602120607,5.323742286962931,3.2839403818833546,3.2263826897075716
6,2024-06-24 18:00:00,2024-07-06 10:00:00,11,141,20.386897662588126,20.26144263980204,12.996333850458793,13.8254888509632,17.12346734890763,125.91013095642269,340.03703376073184,-568.6387196892694,4739.526022591482,-95.22653146250795
7,2024-08-18 14:00:00,2024-08-30 08:00:00,11,271,7.354712341598763,12.788689905197915,8.903373941034339,12.557903437088061,6.025766237666744,14.02714370719233,20.655109127160696,20.08677479681656,21.88269840169638,12.107338335116214
8,2024-09-01 20:00:00,2024-09-06 16:00:00,4,91,0.2644060607434306,-0.014502852943925119,1.5227052653077824,1.9090611368957253,1.7963094598496994,7.470536207783438,9.414273274550238,1.002149030204994,3.344356738566296,1.800373059666375
9,2024-09-06 00:00:00,2024-09-09 11:00:00,3,58,-1.426531784145145,-1.3682763365704091,-2.2038803202092754,-0.8036609184733862,-2.986445961830645,-0.1603573274945603,-2.518839845337683,-4.682007121328432,-5.420284250459932,-3.337303325161006
10,2024-09-08 14:00:00,2024-09-13 09:00:00,4,107,-1.627622718478631,-2.57590095453245,-0.8770817635669534,-1.0322309161253147,-2.6590949988759203,-6.02887761578898,-6.54309514230188,-5.194280626654251,-7.7349380522795315,-5.791236394083171
11,2024-09-11 12:00:00,2024-09-18 14:00:00,7,164,8.954509545374995,4.311000941904662,5.252409449536301,7.458447684606566,8.669334965785918,7.034275630298794,10.458830037211072,-2.980923265748502,6.7202410295777,-0.7697571256759319
12,2024-09-18 16:00:00,2024-09-24 16:00:00,6,81,-1.8205948145239317,-0.840211634767974,0.6242415090644526,2.0254680881443843,-4.251865245128526,6.748434612674638,2.32640561652187,3.620338004570266,5.089088910374903,10.77152654596028
13,2024-09-24 06:00:00,2024-10-09 08:00:00,15,139,3.611151588868772,3.756800289554037,4.690078333463125,5.690504475548442,1.2347299136752223,3.0392265878704965,9.694065945978553,8.7497852185217,9.254259629602688,28.971694616970545
14,2024-10-07 20:00:00,2024-10-15 10:00:00,7,92,-12.58264018398085,-13.64351131834394,-16.130915828582907,-16.231766468970534,-18.141982968203955,9.00176142952267,-32.864039374460255,-39.73691134088768,-40.05149980740889,-28.913275329269556
15,2024-10-14 08:00:00,2024-10-18 12:00:00,4,51,-5.766187553862057,-6.281501818717691,-9.752233569747288,-8.598119836862791,-13.603987423112565,-3.602390650756627,-22.770843609315886,-30.96359791306752,-32.00646395855704,-24.942212122213807
16,2024-10-16 18:00:00,2024-10-22 22:00:00,6,45,5.6637311227095495,2.710354097450342,5.634621689496444,4.983665504328075,10.320646516703185,5.591689477076582,18.096174489187817,26.16543476728473,25.821698239243474,16.210230638537944
17,2024-11-02 06:00:00,2024-11-12 06:00:00,10,118,11.598247450883552,6.153868646359934,14.2255474860735,7.08871132705222,30.716050804128635,15.817660242949028,15.402913863820778,33.408383374564906,38.07257837014809,24.76601498880843
18,2024-11-18 06:00:00,2024-12-10 20:00:00,22,270,34.00602265084022,43.299451765319425,36.86317126189738,60.625891656232255,26.880718246937597,58.68954464531496,44.31893424485429,49.57688480561332,48.418551081276625,35.00639888943897
19,2024-11-29 00:00:00,2024-12-18 08:00:00,19,219,27.122716342643727,21.505298260583476,-8.927650116899397,15.921835631041564,4.275467107861151,24.036245974123766,3.931481860304873,21.91347135503372,30.26651962905891,30.477435779633122
