xs,rhoa_ini,rhoa_sat,diff_rhoa,xrange,slope
2024-05-02 13:00:00,228.17,221.59,6.579999999999984,308.0,0.00021779396708709184
2024-05-15 13:00:00,260.06,243.02,17.039999999999992,286.0,0.00018884071634952233
2024-07-07 03:00:00,243.8,196.62,47.18000000000001,198.0,0.0003274574905548949
2024-09-28 01:00:00,231.1,207.49,23.609999999999985,262.0,0.00027028631076305175
2024-11-02 17:00:00,281.66,234.68,46.98000000000002,638.0,0.00018902854937490705
2024-11-29 15:00:00,314.19,245.16,69.03,574.0,0.00020484115722453622
2024-06-25 19:00:00,226.8,224.16,2.640000000000015,136.0,0.0002713790118901823
2024-05-19 11:00:00,255.76,257.17,-1.410000000000025,208.0,0.000152730988638362
2024-12-18 01:00:00,309.2,308.15,1.0500000000000114,132.0,0.00017512667566495818
2025-01-10 15:00:00,307.19,304.56,2.6299999999999955,138.0,0.00016809844118818832
